รายการ,สวนสัตว์,ปีงบประมาณ,ต.ค. 67,พ.ย. 67,ธ.ค. 67,ม.ค.68,ก.พ. 68,มี.ค. 68,เม.ย. 68,พ.ค. 68,มิ.ย. 68,ก.ค. 68,ส.ค. 68,ก.ย. 68,,
ผู้ใหญ่ (ชาวต่างชาติ),สวนสัตว์สงขลา,2568," 1,884 "," 1,887 "," 3,569 "," 3,262 "," 3,273 "," 1,060 "," 1,567 "," 1,806 "," 2,530 ", -   , -   , -   ,,
เด็ก (ชาวต่างชาติ),สวนสัตว์สงขลา,2568, 826 , 729 ," 1,551 "," 1,411 "," 1,525 ", 389 , 604 , 726 ," 1,074 ", -   , -   , -   ,,
ผู้ใหญ่ (สวนสัตว์กลางคืน),สวนสัตว์สงขลา,2568, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
เด็ก (สวนสัตว์กลางคืน),สวนสัตว์สงขลา,2568, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
ยกเว้น,สวนสัตว์สงขลา,2568," 7,637 "," 2,139 "," 4,584 "," 8,629 "," 2,692 "," 1,835 "," 4,530 "," 2,424 "," 2,987 ", -   , -   , -   ,,
ผู้ใหญ่,สวนสัตว์อุบลราชธานี,2568," 30,907 "," 11,722 "," 19,817 "," 19,809 "," 9,246 "," 10,496 "," 11,594 "," 7,160 "," 7,076 ", -   , -   , -   ,,
เด็ก,สวนสัตว์อุบลราชธานี,2568," 12,776 "," 4,392 "," 4,866 "," 4,720 "," 2,484 "," 2,837 "," 4,500 "," 2,676 "," 2,027 ", -   , -   , -   ,,
โครงการให้บริการความรู้ อสส.,สวนสัตว์อุบลราชธานี,2568, 851 ," 2,229 "," 4,945 "," 5,224 "," 13,287 "," 9,849 ", 122 , 219 , 577 , -   , -   , -   ,,
โครงการทัวร์สวนสัตว์,สวนสัตว์อุบลราชธานี,2568, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
ผู้ใหญ่ (ชาวต่างชาติ),สวนสัตว์อุบลราชธานี,2568, 305 , 225 , 309 , 338 , 204 , 206 , 213 , 170 , 182 , -   , -   , -   ,,
เด็ก (ชาวต่างชาติ),สวนสัตว์อุบลราชธานี,2568, 66 , 53 , 77 , 58 , 37 , 39 , 34 , 27 , 45 , -   , -   , -   ,,
ผู้ใหญ่ (สวนสัตว์กลางคืน),สวนสัตว์อุบลราชธานี,2568, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
เด็ก (สวนสัตว์กลางคืน),สวนสัตว์อุบลราชธานี,2568, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
ยกเว้น,สวนสัตว์อุบลราชธานี,2568," 9,790 "," 3,581 "," 8,714 "," 11,127 "," 3,743 "," 2,844 "," 4,755 "," 3,239 "," 3,771 ", -   , -   , -   ,,
